"filename", "language", "Batch", "Properties", "Groovy", "XML", "Java", "comment", "blank", "total"
"j:\ScheduleManagerForAndroid----todoitems-calendar-timeline-alarm-accounting\app\src\main\res\drawable-anydpi\reminderbar.xml", "XML", 0, 0, 0, 14, 0, 0, 1, 15
"j:\ScheduleManagerForAndroid----todoitems-calendar-timeline-alarm-accounting\app\src\main\res\drawable-anydpi\reminderbar_fill.xml", "XML", 0, 0, 0, 14, 0, 0, 1, 15
"j:\ScheduleManagerForAndroid----todoitems-calendar-timeline-alarm-accounting\app\src\main\res\drawable-xhdpi\message_sys_bg.xml", "XML", 0, 0, 0, 6, 0, 0, 2, 8
"j:\ScheduleManagerForAndroid----todoitems-calendar-timeline-alarm-accounting\app\src\main\res\drawable\bg_blue_head.xml", "XML", 0, 0, 0, 5, 0, 0, 0, 5
"j:\ScheduleManagerForAndroid----todoitems-calendar-timeline-alarm-accounting\app\src\main\res\drawable\bg_blue_radius.xml", "XML", 0, 0, 0, 5, 0, 0, 0, 5
"j:\ScheduleManagerForAndroid----todoitems-calendar-timeline-alarm-accounting\app\src\main\res\drawable\bg_blue_rang.xml", "XML", 0, 0, 0, 4, 0, 0, 0, 4
"j:\ScheduleManagerForAndroid----todoitems-calendar-timeline-alarm-accounting\app\src\main\res\drawable\bg_blue_tail.xml", "XML", 0, 0, 0, 5, 0, 0, 0, 5
"j:\ScheduleManagerForAndroid----todoitems-calendar-timeline-alarm-accounting\app\src\main\res\drawable\bg_btn.xml", "XML", 0, 0, 0, 14, 0, 0, 0, 14
"j:\ScheduleManagerForAndroid----todoitems-calendar-timeline-alarm-accounting\app\src\main\res\drawable\bg_green_head.xml", "XML", 0, 0, 0, 5, 0, 0, 0, 5
"j:\ScheduleManagerForAndroid----todoitems-calendar-timeline-alarm-accounting\app\src\main\res\drawable\bg_green_radius.xml", "XML", 0, 0, 0, 5, 0, 0, 0, 5
"j:\ScheduleManagerForAndroid----todoitems-calendar-timeline-alarm-accounting\app\src\main\res\drawable\bg_green_rang.xml", "XML", 0, 0, 0, 4, 0, 0, 0, 4
"j:\ScheduleManagerForAndroid----todoitems-calendar-timeline-alarm-accounting\app\src\main\res\drawable\bg_green_tail.xml", "XML", 0, 0, 0, 5, 0, 0, 0, 5
"j:\ScheduleManagerForAndroid----todoitems-calendar-timeline-alarm-accounting\app\src\main\res\drawable\bg_grey_head.xml", "XML", 0, 0, 0, 5, 0, 0, 0, 5
"j:\ScheduleManagerForAndroid----todoitems-calendar-timeline-alarm-accounting\app\src\main\res\drawable\bg_grey_radius.xml", "XML", 0, 0, 0, 5, 0, 0, 0, 5
"j:\ScheduleManagerForAndroid----todoitems-calendar-timeline-alarm-accounting\app\src\main\res\drawable\bg_grey_rang.xml", "XML", 0, 0, 0, 4, 0, 0, 0, 4
"j:\ScheduleManagerForAndroid----todoitems-calendar-timeline-alarm-accounting\app\src\main\res\drawable\bg_grey_tail.xml", "XML", 0, 0, 0, 5, 0, 0, 0, 5
"j:\ScheduleManagerForAndroid----todoitems-calendar-timeline-alarm-accounting\app\src\main\res\drawable\bg_orange_head.xml", "XML", 0, 0, 0, 5, 0, 0, 0, 5
